"address","mirrorAddress","votes","available","poolAddress","isPoSNode"
"cfx:aamzus2exbwk7wpexpx1g28a2xrusctzg62y128bg5","0xC41B6A088829E794AaDb37A05fa1249c9Dd7Ca1c","70",0,"",true
"cfx:aamt95v2r0fmhc1knuht81dusm475nyvr64atr5uyk","0x3aFa8F1Ab513e424b2592e37614A45542430716f","110",110,"",true
"cfx:aap4becbzcfab1tz9k8h3aua67xhp2zw72e2uwu6fb","0xD4E9c472B1a95551514bA2Ca1F26E23a55FeBEB9","73",72,"",true
"cfx:aajytnz5a6x43x6887kfzu16bxtxesk16ymajmuycp","0xA6eF418e39A776B79c90426c999F7Ac19b1ce8d2","1",0,"",true
"cfx:aamuzux6r9f180fkyf1h6d2ffb11w6yssy0etvbevk","0xb54117FEca6718927beb583D9df250f65D72C234","1",1,"",true
"cfx:aasadvnweju1nsevr3eft8e4gzwd8heavaftnvzarg","0xd9EdABeee065a00b0276145F7508575d3013206D","1",1,"",true
"cfx:aapygumrrw7e3nvyju3y2j794wgabn7u62f6m8p7hg","0xeDf8c58Bc2A352c44D5F49494204B269eC9C3626","5",0,"",true
"cfx:aak7109k57tnxcx62655re8zc08tcje8r2sd8vpz5n","0x5874a98f63eF373e9f42f193D6eC0Ba2B938827e","1",0,"",true
"cfx:aar612tujfbawpfxm7h5tpmjguev527bwp1zxkaxxb","0xe8592E18Dae0DAAa65bFf9038584B1e1AB8df53d","2",0,"",true
"cfx:aasj7f00k66cntmk39ac29fc2xgmu0b4b2vh9hs6yv","0x5d7cba972A7049ea754809Cd133e6C19425A0B60","6",6,"",true
"cfx:aas9f3c99m2zp9sgaym1v96r4mvmk400waedxdhvs6","0x60d3dEB178857296B1c480B18E50BF6F17eDDaB8","8",8,"",true
"cfx:acdmgjnam0kmtnnnwhz4mh727akfxj7fg2gy3bamw6","0xDa7EEAA847228cA3f8c00541Af0721EC436D2add","91",0,"",true
"cfx:aaswfwyer0n7zwbc98tksrcg1vnjuk02pp3waax745","0x1400caC406d9E204bC1955B3d52CEE5F4dF2083c","3",3,"",true
"cfx:aatakwjv7wrfubten7c2df24pht5evd0uju5n2gesc","0x8E3490F4F1DB61590A06641b747Bd2be98033821","1",1,"",true
"cfx:aatj26ag9ba0j0cherkpby32y3ayh1n8gav9r93xew","0x8b48ADAfBE40cf1B9034471ae9B8D245a944F23d","51",51,"",true
"cfx:aakp8vmpsuf58rrpc08emrejz7h89bznp2ebxkgrjs","0xe6A8C3141ea6969B8b5DA7E436fFB1534F826F55","3",3,"",true
"cfx:aas7j0g2ba6h61zmy48z2sfmg56adwzn3y0v0bu14e","0xf32640c718E5B3aD157F9c125c312f02C79Bff51","1","1","cfx:acbajng6kn43pxh0recft203390fzpchfem4ddg435",false
"cfx:aamj4nafth6xx3vwabf5473cvxcayr3tne9h29j9vu","0x1D34e8b3c3c3A33cb8a014e6216484e4bB98910b","1","1","cfx:acfmcjhvgwm3rp1h3d10kuj700ayv9szmjjskkep1s",false
"cfx:aastt94bgn81e8una8avwg7rn8fhj28abjb14xcyn6","0x1f4cE400AbC29c5D6f965496aE42de538c889932","3","3","cfx:acfmcjhvgwm3rp1h3d10kuj700ayv9szmjjskkep1s",false
"cfx:aar2db70achwp8fs0nkurye8prhwffnte631152ne1","0xd6850FC359d8FE3D17fb9BcD0818479680bC3875","22","22","cfx:acfmcjhvgwm3rp1h3d10kuj700ayv9szmjjskkep1s",false
"cfx:aat1p7t9wkpwygk7gw3ze66bjjx45102p2zbdywuaz","0x8bDa60917e779a77A1402Ae8aF744aD3A68Fd20E","3","3","cfx:acfmcjhvgwm3rp1h3d10kuj700ayv9szmjjskkep1s",false
"cfx:aanudvnh3um1u3bsyw4dp3kg8kcvr910vapt75fk3z","0xe46ED68A48905c2a86A57790fef52244140e5A5A","14","14","cfx:acfmcjhvgwm3rp1h3d10kuj700ayv9szmjjskkep1s",false
"cfx:aas7fc67neykhvv54pxf6dzzr6phjtv70e83vrjzfc","0x08886301203B079A2F93465f465A336faD6930E1","132",132,"",true
