"address","votes","available","pool"
"0x3b4Eec4EDFDeE09971602b1F837023A62C0893ef","1","1","0xa3a9d461FDb27A8F798E2c93256537625F069c7b"
"0x0D2418c13e6d48bEEE26f2CF42d67Dfe0b0613DE","2","2","0x3cbc6F7D406fe9701573FE6DdF28f4F17b5d46A3"
"0x428ba8507189D2EDab36b6396353a94b8FD69700","1","1","0x3cbc6F7D406fe9701573FE6DdF28f4F17b5d46A3"
"0x5DD57766FdB0982Afd9Ca2Eb5064B632622bCfDb","15","15","0x3cbc6F7D406fe9701573FE6DdF28f4F17b5d46A3"
"0xD636E39d99571A56D783c2b8a99676Be25695B6e","3","3","0x3cbc6F7D406fe9701573FE6DdF28f4F17b5d46A3"
"0x4570d31A950c1224B153E0304aF59553196ce0f9","1","1","0x3cbc6F7D406fe9701573FE6DdF28f4F17b5d46A3"
"0x271e9E2B7a101aba792f807fd4B0501dCBca998D","156","156","0x3cbc6F7D406fe9701573FE6DdF28f4F17b5d46A3"
"0x0b3E1bA5E079D41816515DE23f7c72F02DdC0702","1","0","0x3cbc6F7D406fe9701573FE6DdF28f4F17b5d46A3"
"0x924d59c10046Fb3A0ca00D323807e560faa14609","1","1","0xb6Eb7AA86f3886b6eDc0fC1C826221b1fb26e437"
"0x5ce02Ad13B3F78D2FeEB2d3Ea01ba169b90F5516","50","50","0xb6Eb7AA86f3886b6eDc0fC1C826221b1fb26e437"
"0x1a135B4B14905477f81009BA799D1235Ec31cBD5","18","18","0xb6Eb7AA86f3886b6eDc0fC1C826221b1fb26e437"
